censored_proportion,events_proportion,ijk_std,ijk_std_rel_error(%),ijk_std_cv,jkab_std,jkab_std_rel_error(%),jkab_std_cv,True_Y,RF_Y_pred,WB_Y_pred,wb_emp_std,rf_emp_std,ijk_biased_std,ijk_biased_std_rel_error(%),ijk_biased_std_cv,wb_mse,rf_mse,events_bin
0.1,0.09,0.0173,0.6521,0.5202312138728323,0.0222,28.9044,0.5540540540540541,0.9458,0.9346,0.9315,0.0071,0.0172,0.0421,144.3426,0.5914489311163895,0.0837,0.0838,EE1
0.1,0.18,0.0303,4.971,0.4059405940594059,0.037,28.0903,0.4243243243243243,0.8822,0.855,0.8556,0.0107,0.0289,0.0673,133.3342,0.41901931649331353,0.1471,0.1465,EE2
0.1,0.27,0.0409,2.4274,0.34474327628361856,0.0492,23.3416,0.34756097560975613,0.813,0.7708,0.7769,0.0132,0.0399,0.0871,118.3903,0.31802525832376577,0.1888,0.1881,EE3
0.1,0.36,0.0497,3.5201,0.3038229376257545,0.0595,24.1051,0.30420168067226894,0.7378,0.6826,0.6946,0.0151,0.048,0.1039,116.6386,0.2579403272377286,0.2127,0.2126,EE4
0.3,0.07,0.0185,8.2597,0.6324324324324325,0.0318,85.9202,0.6886792452830188,0.9528,0.9435,0.941,0.0075,0.0171,0.0405,136.6096,0.7012345679012346,0.075,0.0755,EE1
0.3,0.14,0.0317,8.7149,0.4858044164037855,0.0517,77.5024,0.504835589941973,0.897,0.8733,0.8741,0.0116,0.0291,0.0651,123.4679,0.48694316436251917,0.1354,0.1354,EE2
0.3,0.21,0.0435,10.4733,0.36781609195402304,0.0696,76.7233,0.3692528735632184,0.8348,0.7975,0.8025,0.0143,0.0394,0.0856,117.5191,0.3574766355140187,0.1781,0.1779,EE3
0.3,0.28,0.054,6.7434,0.3592592592592593,0.0859,69.7753,0.3457508731082654,0.7677,0.7185,0.7276,0.0166,0.0506,0.1035,104.667,0.3285024154589372,0.2058,0.2061,EE4
0.5,0.05,0.0207,7.3836,1.0048309178743962,0.0482,150.404,0.995850622406639,0.961,0.9533,0.9518,0.0083,0.0192,0.0408,112.3157,0.9828431372549018,0.0638,0.0649,EE1
0.5,0.1,0.0326,20.9212,0.5245398773006136,0.0708,162.2479,0.576271186440678,0.9179,0.9005,0.8995,0.0116,0.027,0.0602,122.9864,0.5514950166112957,0.1157,0.1165,EE2
0.5,0.15,0.0454,19.4318,0.45814977973568277,0.0974,156.2823,0.4753593429158111,0.8684,0.8397,0.8414,0.015,0.038,0.081,113.2662,0.44938271604938274,0.158,0.1588,EE3
0.5,0.2,0.0573,18.5768,0.41361256544502617,0.1207,149.7129,0.4009942004971002,0.8145,0.7746,0.7793,0.0179,0.0483,0.0996,106.079,0.39457831325301207,0.1892,0.1907,EE4
0.7,0.03,0.0246,-26.3034,1.483739837398374,0.0965,188.9441,1.37720207253886,0.9704,0.9648,0.9639,0.0087,0.0334,0.0426,27.5123,1.3615023474178405,0.0508,0.0539,EE1
0.7,0.06,0.0374,27.5437,0.8582887700534758,0.1377,369.7431,0.9063180827886711,0.9395,0.9281,0.9262,0.0125,0.0293,0.0604,105.8651,0.8658940397350993,0.092,0.0953,EE2
0.7,0.09,0.0545,19.7936,0.7339449541284404,0.2112,364.5125,0.7713068181818181,0.9011,0.8784,0.8804,0.0161,0.0455,0.0841,85.0653,0.7086801426872771,0.1328,0.137,EE3
0.7,0.12,0.0698,28.1861,0.6017191977077364,0.3018,453.8916,0.6583830351225977,0.862,0.8307,0.8344,0.0188,0.0545,0.1059,94.3244,0.5939565627950897,0.1631,0.169,EE4
