,portion_zero_weights_train,portion_seen_events_train,portion_zero_weights_test,portion_seen_events_test,wb_test_mse,rf_test_mse,wb_pred,rf_pred,ijk_butt_var,ijk_u_butt_var,ijk_u2_butt_var,ijk_jahn_var,ijk_u_jahn_var,ijk_u2_jahn_var,ijk_wager_var,ijk_u_wager_var,jk_wager_var,jk_u_wager_var,boot_var
0,0.092,0.183,0.1258741258741259,0.22144522144522144,0.17710691785785337,0.17546427645687993,0.8255513875895437,0.8396657887474653,0.0,0.0,0.0,0.007142057977806651,0.0017987846224210083,0.007142057977806651,0.00702194928214059,0.0016826438052930173,0.0,0.0,0.0
1,0.102,0.19,0.10256410256410256,0.20745920745920746,0.15604033798403352,0.15823446124962384,0.8138803317238221,0.8388669175989384,0.0,0.0,0.0,0.011894732665283665,0.0016936945037990918,0.011894732665283665,0.011826354146835631,0.0016351296435396633,0.0,0.0,0.0
2,0.125,0.17,0.10023310023310024,0.20512820512820512,0.16341421465428194,0.17202633966480682,0.822890146028928,0.8720438236565028,0.0,0.0,0.0,0.0021810130227895774,0.0006084138377221483,0.0021810130227895774,0.0021281156702231243,0.0005577452684518271,0.0,0.0,0.0
3,0.098,0.196,0.1048951048951049,0.19347319347319347,0.1496449796695567,0.15128752265299497,0.8277342318315819,0.8250800830218493,0.0,0.0,0.0,0.0033738921733869145,0.0007498628397615138,0.0033738921733869145,0.0033362346138124215,0.0007142895947693248,0.0,0.0,0.0
4,0.113,0.198,0.13986013986013987,0.16317016317016317,0.13943572986583197,0.14867900469262474,0.8265736814427547,0.7387201438109859,0.0,0.0,0.0,0.011355997127605745,0.0022783273098062416,0.011355997127605745,0.01116747641554952,0.0020997220342262833,0.0,0.0,0.0
5,0.092,0.199,0.08857808857808858,0.20279720279720279,0.15226427777906137,0.15163439279764082,0.8303525006778227,0.8072882702066136,0.0,0.0,0.0,0.004700837060651889,0.0010277260569121313,0.004700837060651889,0.004639364416094047,0.0009686757222870214,0.0,0.0,0.0
6,0.089,0.214,0.06526806526806526,0.23543123543123542,0.16681636294395685,0.1760222653158463,0.8202283583175242,0.8109796624594008,0.0,0.0,0.0,0.009419065680274133,0.0015280896016498565,0.009419065680274133,0.009211788306664307,0.0013279065222755477,0.0,0.0,0.0
7,0.107,0.187,0.08391608391608392,0.17715617715617715,0.1440398257300015,0.1436580914289798,0.81796991599779,0.8869342773616208,0.0,0.0,0.0,0.003919605370166224,0.00110578778916986,0.003919605370166224,0.0038480106489525443,0.0010373172102176057,0.0,0.0,0.0
8,0.095,0.198,0.08158508158508158,0.21212121212121213,0.1575252189251459,0.159838587689739,0.8222859304397288,0.8703861276030322,0.0,0.0,0.0,0.0028331401635627233,0.0005355852746028325,0.0028331401635627233,0.0028008179397046888,0.0005054249387499584,0.0,0.0,0.0
9,0.101,0.208,0.10256410256410256,0.1888111888111888,0.15293206284543157,0.1526459409938373,0.8047516591199452,0.8019183257196134,0.0,0.0,0.0,0.003450416814217911,0.0007180027142494935,0.003450416814217911,0.0033769304216895307,0.0006475707173125632,0.0,0.0,0.0
10,0.085,0.205,0.10023310023310024,0.22377622377622378,0.167373009547004,0.17159408716680827,0.8131978516462283,0.7869958838598207,0.0,0.0,0.0,0.004264065023274687,0.0014572655469049364,0.004264065023274687,0.00418230540096124,0.0013773079434960885,0.0,0.0,0.0
11,0.107,0.176,0.08857808857808858,0.2191142191142191,0.17039524928411456,0.17410333026605157,0.8275510735153336,0.8614732093541799,0.0,0.0,0.0,0.003996015644544078,0.0007712575850640072,0.003996015644544078,0.00395326249500533,0.0007313186578674267,0.0,0.0,0.0
12,0.096,0.211,0.08857808857808858,0.1794871794871795,0.15016530318660212,0.1528048575398413,0.808588351500589,0.7953540182975062,0.0,0.0,0.0,0.006134823934791503,0.0009828348857259805,0.006134823934791503,0.006074147576298329,0.0009262491496684674,0.0,0.0,0.0
13,0.086,0.211,0.10722610722610723,0.19347319347319347,0.14392818234027557,0.14127218849114304,0.8134424963904506,0.7415532643116906,0.0,0.0,0.0,0.05572903797192033,0.014720049911530066,0.05572903797192033,0.054913899135500474,0.013936398719050766,0.0,0.0,0.0
14,0.088,0.208,0.12121212121212122,0.21445221445221446,0.17962329910639013,0.18717397316056744,0.8228261603820732,0.8298241009732523,0.0,0.0,0.0,0.003960674487468498,0.0007249416794752007,0.003960674487468498,0.003911324664776332,0.000678096598270346,0.0,0.0,0.0
15,0.104,0.212,0.06293706293706294,0.1888111888111888,0.1534267708443301,0.15942248425294023,0.8134616341749237,0.7748347208781897,0.0,0.0,0.0,0.012356475410715726,0.0022095960682866084,0.012356475410715726,0.012163317344951146,0.0020293076607259316,0.0,0.0,0.0
16,0.1,0.206,0.09324009324009325,0.21445221445221446,0.16674471898895943,0.16912740957391253,0.8162431765578693,0.7548027786494195,0.0,0.0,0.0,0.006532702745358551,0.001701570551811027,0.006532702745358551,0.006393646415352093,0.0015679753844400502,0.0,0.0,0.0
17,0.098,0.195,0.10023310023310024,0.20279720279720279,0.14969309870189812,0.15247540732075365,0.8172477776636274,0.8112710427150222,0.0,0.0,0.0,0.005065881584941924,0.0011004317669741455,0.005065881584941924,0.004972501425332229,0.0010105942692821496,0.0,0.0,0.0
18,0.106,0.205,0.08391608391608392,0.20279720279720279,0.15360258575672822,0.15534806705055268,0.8003291209064343,0.8315257787634118,0.0,0.0,0.0,0.004529006968615368,0.0012710670340713832,0.004529006968615368,0.0044499649599009546,0.0011953537231175126,0.0,0.0,0.0
19,0.105,0.209,0.06993006993006994,0.20512820512820512,0.16178325821860118,0.16538878845627686,0.8140694710088964,0.8311172288390036,0.0,0.0,0.0,0.0037548447979531634,0.0010406317698640486,0.0037548447979531634,0.003694172771344799,0.0009827276179936884,0.0,0.0,0.0
20,0.096,0.217,0.11888111888111888,0.15384615384615385,0.13101780175872665,0.13705085327927138,0.8041030317035317,0.7721071805528613,0.0,0.0,0.0,0.004567923515772831,0.0010474735896113313,0.004567923515772831,0.004493683640498289,0.000976636881827789,0.0,0.0,0.0
