,portion_zero_weights_train,portion_seen_events_train,portion_zero_weights_test,portion_seen_events_test,wb_test_mse,rf_test_mse,wb_pred,rf_pred,ijk_butt_var,ijk_u_butt_var,ijk_u2_butt_var,ijk_jahn_var,ijk_u_jahn_var,ijk_u2_jahn_var,ijk_wager_var,ijk_u_wager_var,jk_wager_var,jk_u_wager_var,boot_var
0,0.512,0.403,0.5081585081585082,0.41025641025641024,0.1817272437425146,0.1874001073804119,0.3538786190768722,0.37514597250504195,0.0,0.0,0.0,0.026285224444694385,0.009849953292450846,0.009823392785420562,0.02996068619582532,0.016999158765046152,0.0,0.0,0.0069780051098793806
1,0.502,0.394,0.5151515151515151,0.40559440559440557,0.18088786899235518,0.19586343367277467,0.3877722682088904,0.30641544820726685,0.0,0.0,0.0,0.008740256368697933,0.002560850929592128,0.0025507280826598784,0.010649685388017159,0.005608507615757076,0.0,0.0,0.0073873703884472
2,0.526,0.383,0.5454545454545454,0.3776223776223776,0.2009012354137982,0.22164589619782096,0.39680706640921265,0.2538551166815427,0.0,0.0,0.0,0.08503053676306366,0.03287273685137695,0.03278468684791233,0.09744459346602832,0.05570889182380118,0.0,0.0,0.011883138838040671
3,0.506,0.402,0.48717948717948717,0.40093240093240096,0.19241851438743407,0.2090130094761577,0.3620877840354807,0.3836579569288205,0.0,0.0,0.0,0.06821703434859784,0.014200073041683518,0.014111208566728269,0.08490592716075641,0.04100687653286239,0.0,0.0,0.009968669569731504
4,0.51,0.394,0.5314685314685315,0.37995337995337997,0.20267740371469256,0.23104439867105356,0.4077495738757315,0.3126977701056525,0.0,0.0,0.0,0.011447285821553615,0.0033412564801439237,0.003327792150835538,0.01289247429341063,0.006294952932301578,0.0,0.0,0.005275349315965833
5,0.478,0.408,0.49184149184149184,0.4149184149184149,0.18878404597149667,0.20165912812791925,0.35252323675229047,0.3106569375571656,0.0,0.0,0.0,0.017019908085922537,0.005331534802757502,0.0053126785543424065,0.019884925681749453,0.010041964009070264,0.0,0.0,0.008853634368642463
6,0.487,0.413,0.47086247086247085,0.40559440559440557,0.18763863785547838,0.21777622445590564,0.40023651791012693,0.5173856321405412,0.0,0.0,0.0,0.017471656865576793,0.006465286441694541,0.006448012760222395,0.016762513964717504,0.007901115369506431,0.0,0.0,0.010253679398654805
7,0.491,0.398,0.5011655011655012,0.40326340326340326,0.20184977226266781,0.2234997102380341,0.3884985179227697,0.2872343747368411,0.0,0.0,0.0,0.011462169555713322,0.0029599614988380252,0.0029461802615998386,0.012727995569535243,0.0057133458152979245,0.0,0.0,0.006815423740170429
8,0.492,0.413,0.5151515151515151,0.3962703962703963,0.21752769627810004,0.21875295829607605,0.4006612781897692,0.31632518089021006,0.0,0.0,0.0,0.017225990211894953,0.005725661016714385,0.005707223485736403,0.01786984775614501,0.008503582019330299,0.0,0.0,0.006161002432121549
9,0.483,0.412,0.47785547785547783,0.4172494172494173,0.20721619279366824,0.23073445428104816,0.3648549068512088,0.3063472070567449,0.0,0.0,0.0,0.0330829858281806,0.00568747290650003,0.005643662892839612,0.034760506475011804,0.012110729412575842,0.0,0.0,0.010145949139428298
10,0.499,0.412,0.5011655011655012,0.4172494172494173,0.1967888029197846,0.2017881827689077,0.3786911364347041,0.47912363853385964,0.0,0.0,0.0,0.010020220003731263,0.0036862025955955767,0.0036761097428142644,0.01034174447756201,0.005285225234124759,0.0,0.0,0.00829044629912386
11,0.487,0.406,0.4988344988344988,0.40093240093240096,0.2268177925351476,0.22964027320440414,0.3926426107375349,0.42908467740028094,0.0,0.0,0.0,0.034040057861041924,0.008618669319708314,0.008577180253100416,0.03623819780382742,0.01495430663397589,0.0,0.0,0.011342974551614255
12,0.479,0.407,0.5104895104895105,0.40093240093240096,0.18218843561733766,0.19608293783216274,0.4041772343781064,0.34570434005225875,0.0,0.0,0.0,0.04981767228595492,0.013793718488825005,0.013737006283336892,0.05404659522621548,0.024499536166911796,0.0,0.0,0.007675509934425599
13,0.506,0.385,0.5058275058275058,0.38927738927738925,0.2085619365954881,0.21760916716382778,0.39225304887397844,0.3724468468039079,0.0,0.0,0.0,0.008242597255007733,0.0023876987619745648,0.002378176936072448,0.00927088645004488,0.004567104454399184,0.0,0.0,0.005522924820845974
14,0.497,0.409,0.5198135198135199,0.3916083916083916,0.20819126682772432,0.20532645620875195,0.38013490804485084,0.3743797659979811,0.0,0.0,0.0,0.01652645551784691,0.0035225467755561936,0.0035015697398219896,0.016251517573451373,0.005700068599146575,0.0,0.0,0.011939176691947204
15,0.495,0.4,0.4988344988344988,0.40559440559440557,0.20906051162957745,0.23796327924310792,0.37413159392288,0.4386212843147141,0.0,0.0,0.0,0.026699610095468024,0.009266998545081832,0.009239108981842444,0.028925906462110813,0.014841677026220506,0.0,0.0,0.010606589164331427
16,0.504,0.414,0.4965034965034965,0.4289044289044289,0.1799143514430749,0.18336145205781001,0.34812391357112965,0.3701146532070765,0.0,0.0,0.0,0.011519598793824968,0.0029171762780852133,0.0029035315947999515,0.012366161105561754,0.005598398196071894,0.0,0.0,0.006073569033524949
17,0.498,0.396,0.48484848484848486,0.40326340326340326,0.19433900637618043,0.21442475443058018,0.3839330405923557,0.35263826347033367,0.0,0.0,0.0,0.006465288127264624,0.0014905923257111722,0.0014825180750634576,0.00700831151571645,0.0029550376905634924,0.0,0.0,0.006155555141934056
18,0.494,0.408,0.4662004662004662,0.40792540792540793,0.20981441003421503,0.22292023708303896,0.3455219309551616,0.4459594193154835,0.0,0.0,0.0,0.03320685804948454,0.011456263824495785,0.011421279467754356,0.03302704141072744,0.015324956899564583,0.0,0.0,0.013135472646734056
19,0.481,0.401,0.48484848484848486,0.4219114219114219,0.1866269371287867,0.18717674348679345,0.36752427707424745,0.3798420462376961,0.0,0.0,0.0,0.020731961473836623,0.005787794479776643,0.005763860693690571,0.021342078569236964,0.008920443590565522,0.0,0.0,0.009065473764260045
20,0.512,0.385,0.5151515151515151,0.3916083916083916,0.22493221178379716,0.23624404970558804,0.37200889906182155,0.4029459583888594,0.0,0.0,0.0,0.006461925673075442,0.0022716197548234346,0.002264779252468295,0.006972972300318676,0.0036348071510108456,0.0,0.0,0.006207000239194827
21,0.501,0.395,0.5011655011655012,0.38461538461538464,0.20744534059202527,0.21228306128171334,0.37550030631271375,0.3560663473781087,0.0,0.0,0.0,0.017018248744912506,0.004488081040222806,0.0044674351280847725,0.018580453835979404,0.008278143679100474,0.0,0.0,0.008995302831020614
22,0.499,0.403,0.4988344988344988,0.40326340326340326,0.1982378087126588,0.19405896116971344,0.3834144855315131,0.4326802721794735,0.0,0.0,0.0,0.01053574019719136,0.0028395956261302573,0.0028273925934416836,0.011964526408973674,0.005850807031998047,0.0,0.0,0.007128266223164886
23,0.501,0.398,0.5011655011655012,0.3916083916083916,0.21045979152281102,0.20503339488645939,0.3741148486669032,0.48670175068740523,0.0,0.0,0.0,0.009959042997823532,0.002744503957225152,0.002732999427206002,0.010934045495520297,0.005193285015964365,0.0,0.0,0.005424675214541844
24,0.482,0.413,0.5128205128205128,0.3986013986013986,0.19523103709658066,0.21413396975567572,0.3714002573187887,0.24330798542878107,0.0,0.0,0.0,0.015246553926332812,0.0041221991209505725,0.004104420725733478,0.0149005998455877,0.005691391123132175,0.0,0.0,0.0046379691395367914
25,0.516,0.388,0.49417249417249415,0.3916083916083916,0.21449768716735404,0.2395474043163223,0.3872821380636137,0.5068892964484695,0.0,0.0,0.0,0.00884468860796903,0.0036615817473750825,0.0036530019719239575,0.0101807250978393,0.006028113779494419,0.0,0.0,0.00990107558530286
26,0.481,0.404,0.46853146853146854,0.40093240093240096,0.2179981561246884,0.22848164786207242,0.41660307300734933,0.3862972899900978,0.0,0.0,0.0,0.018137313418079996,0.0031327259357339793,0.003108566245931187,0.019086734258904326,0.00654785525125505,0.0,0.0,0.006665147238181896
27,0.506,0.395,0.4988344988344988,0.3986013986013986,0.19600983889293938,0.20071156728911138,0.42180281785219087,0.34096045306354983,0.0,0.0,0.0,0.02626460983631135,0.005213674794083353,0.005179546855243199,0.031652152388615025,0.014792950601579358,0.0,0.0,0.01322884535669958
28,0.501,0.41,0.4592074592074592,0.42424242424242425,0.20897879830388735,0.22360010689161267,0.3587016782136196,0.2687007456296837,0.0,0.0,0.0,0.017050687906397608,0.0053540338287285,0.005335186373375839,0.021641492878012404,0.012236612657034476,0.0,0.0,0.006461984345038636
29,0.535,0.365,0.5174825174825175,0.372960372960373,0.21676607807862927,0.2247910700189395,0.39114322816244856,0.4356105802678871,0.0,0.0,0.0,0.020285177709256124,0.005013604175112483,0.0049877222316264715,0.020187836760278466,0.008152733039283521,0.0,0.0,0.017426440351667107
