,portion_zero_weights_train,portion_seen_events_train,portion_zero_weights_test,portion_seen_events_test,wb_test_mse,rf_test_mse,wb_pred,rf_pred,ijk_butt_var,ijk_u_butt_var,ijk_u2_butt_var,ijk_jahn_var,ijk_u_jahn_var,ijk_u2_jahn_var,ijk_wager_var,ijk_u_wager_var,jk_wager_var,jk_u_wager_var,boot_var
0,0.092,0.183,0.1258741258741259,0.22144522144522144,0.17710691785785326,0.17546427645687993,0.6638746979238358,0.7708648400257232,0.011878386973168727,0.0020103234564899618,0.0018925036589553836,0.01196322371227799,0.00209470112893137,0.001970396735896246,0.011790444540516289,0.0019183860176352503,0.02049763293163083,0.0035346541622801007,0.0018904363044877578
1,0.102,0.19,0.10256410256410256,0.20745920745920746,0.15604033798403352,0.15823446124962384,0.5959719862356135,0.5567376387886794,0.02095270558003449,0.005647622595452534,0.005576128278209521,0.021104121707617475,0.005798039686688992,0.005726605451736264,0.02079261004074001,0.005484222057234974,0.03470861386928947,0.008404488974231964,0.005793457756142915
2,0.125,0.17,0.10023310023310024,0.20512820512820512,0.16341421465428177,0.17202633966480682,0.6578207545943868,0.7378519671694009,0.028230256683164656,0.005717043994734192,0.005750931902277975,0.028533780526560793,0.006017854181317443,0.006047014103650213,0.027922943140438423,0.005413238819858408,0.05118855983895471,0.012510543940916018,0.005497706458388778
3,0.098,0.196,0.1048951048951049,0.19347319347319347,0.14964497966955656,0.15128752265299497,0.6127547943333423,0.7236546832041445,0.02400616829168635,0.00585848209382343,0.005884906100865266,0.02421996802507755,0.006071447982126568,0.006097659654775468,0.023784496321562584,0.005630281343436547,0.0393790961191037,0.008185038412250711,0.006686210455309452
4,0.113,0.198,0.13986013986013987,0.16317016317016317,0.13943572986583253,0.14867900469262474,0.6103142682040184,0.7230988594150265,0.008080221911625154,0.0023818711897067033,0.002349922677872651,0.008176325830603612,0.002477529470880096,0.002445874648926166,0.00798354725298156,0.0022845576258037235,0.012866685331749629,0.0030742150147933644,0.0023374533770918857
5,0.092,0.199,0.08857808857808858,0.20279720279720279,0.15226427777906149,0.15163439279764082,0.6335594496199044,0.5697850308062569,0.023939906784958817,0.005807188754538617,0.005711211797096008,0.024098091552759174,0.00596468161654691,0.005868953202758598,0.023775866573904153,0.005634448735279934,0.03805272082000309,0.0068806522054123305,0.007847289471647936
6,0.089,0.214,0.06526806526806526,0.23543123543123542,0.16681636294395688,0.1760222653158463,0.5862346927160335,0.37284353152975314,0.026057322974507486,0.004744087559426333,0.004705853920473145,0.026170463821608324,0.004856152078989151,0.004818387419813115,0.0259287945089509,0.00461026495984997,0.043547328642301666,0.006916086708614336,0.00942781090257927
7,0.107,0.187,0.08391608391608392,0.17715617715617715,0.14403982573000124,0.1436580914289798,0.6148723581539276,0.7307371641579675,0.012796643487370552,0.0017019768451860817,0.0018248740008872683,0.012872228876022284,0.0017767154902486107,0.001899051976479894,0.01271335439051512,0.001617748903167739,0.02351250212158844,0.004447124836928967,0.003449320434759799
8,0.095,0.198,0.08158508158508158,0.21212121212121213,0.15752521892514582,0.159838587689739,0.5730660780921752,0.6570721476765621,0.04723678929384254,0.007438027457829996,0.007602238905210765,0.04729382689256796,0.007492654144639212,0.007660524113279922,0.04714131344863477,0.007333646695806183,0.07883590547778321,0.010435115063044564,0.010147308156563246
9,0.101,0.208,0.10256410256410256,0.1888111888111888,0.152932062845432,0.1526459409938373,0.5980559189149778,0.6548938985136187,0.017141187055894236,0.003932317345067465,0.003926953319534961,0.017261103237861293,0.004051322271804384,0.004042751288947141,0.017009097039997062,0.00379940512897165,0.02828865770935435,0.005590684139096948,0.003069562756941135
10,0.085,0.205,0.10023310023310024,0.22377622377622378,0.1673730095470041,0.17159408716680827,0.6120856308964171,0.6887986122556938,0.021853450906942077,0.0041919304629253334,0.004261458461315461,0.0220262615865991,0.0043641068024674635,0.004432407753238738,0.021677085274807995,0.004006970729409948,0.035484713514018315,0.00512247678387099,0.0056722376643275835
11,0.107,0.176,0.08857808857808858,0.2191142191142191,0.1703952492841144,0.17410333026605157,0.627703710541485,0.6707297476346005,0.021551618881996044,0.005950818666005608,0.005938743080671787,0.021760050138621864,0.0061582780382301566,0.006145887764851138,0.021341118295414203,0.0057355015013444265,0.035640987836359904,0.008826140077214509,0.004465034767602687
12,0.096,0.211,0.08857808857808858,0.1794871794871795,0.150165303186603,0.1528048575398413,0.628017227245613,0.5275047426654128,0.032417261649049074,0.0064741775182552315,0.006578999428153751,0.03262026880459522,0.006675945949856977,0.006778897143866591,0.03220172907730014,0.006249320105689068,0.05673249553242857,0.012138942791771773,0.008756234445221705
13,0.086,0.211,0.10722610722610723,0.19347319347319347,0.1439281823402759,0.14127218849114304,0.5791804232484565,0.6532509505413159,0.037610115178194105,0.007770385355562334,0.007878462588201813,0.03786896639725079,0.00802800270973543,0.008134650351138799,0.037339818067983255,0.007489132641899699,0.06489159028117356,0.013599699946486937,0.004906033315651784
14,0.088,0.208,0.12121212121212122,0.21445221445221446,0.17962329910639088,0.18717397316056744,0.5844785926030324,0.6146312127451863,0.026674671430641783,0.005238428443516151,0.005329206876120946,0.02677735918754867,0.005340195542013506,0.005432241850248751,0.026556730479751406,0.005112666055132258,0.04616891386667772,0.00932196763754957,0.005186035633209887
15,0.104,0.212,0.06293706293706294,0.1888111888111888,0.15342677084432954,0.15942248425294023,0.5965209295699297,0.6757294279526102,0.00856494843217086,0.00187711897416164,0.0019039769162307145,0.008615465389821877,0.0019270792562380238,0.0019526730684668063,0.008506987903319895,0.001819630792617391,0.014382659726954973,0.0028918955232184775,0.0034967296193284827
